feature,psi
fe_1,0.0556918049684357
fe_2,0.055973706017766384
fe_3,0.054896107500239065
fe_4,0.0660624736385916
fe_5,0.057619349614358745
fe_6,0.05459343404774886
fe_7,0.0502893865359496
fe_8,0.05246390100612106
fe_9,0.047830044962450885
fe_10,0.056221309174166505
fe_11,0.04917324676923465
fe_12,0.0548904574081697
fe_13,0.06527818331059898
fe_14,0.05413412158013172
fe_15,0.059703182292176735
fe_16,0.05351597212794156
fe_17,0.05802072016165602
fe_18,0.059712713539617074
fe_19,0.041604099728986585
fe_20,0.054412813733468395
