feature,psi
fe_1,0.062292789000148646
fe_2,0.05387677873081019
fe_3,0.05372642638044346
fe_4,0.054872614620686724
fe_5,0.049801598463049906
fe_6,0.06254833485283562
fe_7,0.051824750676840364
fe_8,0.062225061378098176
fe_9,0.04816288868833026
fe_10,0.05814088885823691
fe_11,0.05537281425888186
fe_12,0.05924325130619406
fe_13,0.06081617283799963
fe_14,0.0490844389222438
fe_15,0.06835349695097591
fe_16,0.06017798790481905
fe_17,0.056849253244540675
fe_18,0.0541086456026201
fe_19,0.04789854720045451
fe_20,0.05005927834186304
