feature,psi
fe_1,0.05884616454098568
fe_2,0.04430998244108531
fe_3,0.05504642558176395
fe_4,0.051684527138333006
fe_5,0.05475632624551379
fe_6,0.06297199235240317
fe_7,0.06289777537693032
fe_8,0.05781173761041936
fe_9,0.037411540357565644
fe_10,0.04832794818359097
fe_11,0.05565811718477151
fe_12,0.056476148731006294
fe_13,0.05927104695099133
fe_14,0.04589114352271921
fe_15,0.055586435269650784
fe_16,0.05580237755442058
fe_17,0.053030271260793176
fe_18,0.054820383719027255
fe_19,0.05013289313432769
fe_20,0.04955619267351546
