feature,psi
fe_1,0.05307202010426301
fe_2,0.05186555470257115
fe_3,0.045850387191806355
fe_4,0.05929774009532585
fe_5,0.06240081026363738
fe_6,0.06037505131073492
fe_7,0.05584492074693401
fe_8,0.05116757837608221
fe_9,0.04285006771236307
fe_10,0.05177181628262945
fe_11,0.05108223808784897
fe_12,0.054582300024495996
fe_13,0.04650747271368188
fe_14,0.045292668051377674
fe_15,0.06362623308048089
fe_16,0.05835597377960333
fe_17,0.046622965423711527
fe_18,0.06109061635027185
fe_19,0.037837012039175694
fe_20,0.0552556600311667
