feature,psi
fe_1,0.05731978965717954
fe_2,0.054039107595454744
fe_3,0.04768177756037744
fe_4,0.055238452040904884
fe_5,0.053084795920720976
fe_6,0.059432382413976276
fe_7,0.05423324232159524
fe_8,0.06501221349754471
fe_9,0.046487031048029266
fe_10,0.048687638209585674
fe_11,0.06312302016148534
fe_12,0.05045765817180935
fe_13,0.055354739229167116
fe_14,0.04945882772894482
fe_15,0.04954613785285606
fe_16,0.054619027831776745
fe_17,0.050626101706082345
fe_18,0.06279953436001535
fe_19,0.03574612302004253
fe_20,0.04415004151328817
