feature,psi
fe_1,0.05759238270246579
fe_2,0.05870565805919737
fe_3,0.05138045216738319
fe_4,0.05544310514172859
fe_5,0.057330057802121887
fe_6,0.04662203675336656
fe_7,0.060314913548459394
fe_8,0.06499934227963738
fe_9,0.04431202940828852
fe_10,0.05515652315271016
fe_11,0.055767337546918934
fe_12,0.057629283883857685
fe_13,0.061446876130813705
fe_14,0.061614864890981016
fe_15,0.06586995596739328
fe_16,0.06102979586925864
fe_17,0.05188633704227196
fe_18,0.059534100851905435
fe_19,0.04710593271360765
fe_20,0.055827820681683495
