feature,psi
fe_1,0.05993219157630429
fe_2,0.05435610868579162
fe_3,0.043249817274720624
fe_4,0.07119944812260005
fe_5,0.058527168148203995
fe_6,0.07109763444891404
fe_7,0.05814636322506476
fe_8,0.05782710768549802
fe_9,0.04582333063659764
fe_10,0.05790968461356563
fe_11,0.05439174306460174
fe_12,0.06049425390378501
fe_13,0.05111223531187783
fe_14,0.049655566563010754
fe_15,0.05466937990205679
fe_16,0.05832208594443035
fe_17,0.05612010396042429
fe_18,0.05403225589122383
fe_19,0.0387854302126728
fe_20,0.05518736742600033
