feature,psi
fe_1,0.06139002503734159
fe_2,0.059543707615822394
fe_3,0.04465264765727116
fe_4,0.06107565395135149
fe_5,0.05588704597094442
fe_6,0.05838914566104648
fe_7,0.0522526144161585
fe_8,0.059830766264175606
fe_9,0.04532907241904642
fe_10,0.05216356018464394
fe_11,0.05587072801339046
fe_12,0.05663442281023444
fe_13,0.05524229430645945
fe_14,0.04930004713552189
fe_15,0.05669165307545053
fe_16,0.052874932782044075
fe_17,0.049965645015999725
fe_18,0.05195803748169137
fe_19,0.04534723578141116
fe_20,0.0548727469536101
