feature,psi
fe_1,0.05320733084782338
fe_2,0.057951038327145266
fe_3,0.04903065050049475
fe_4,0.060121959874857855
fe_5,0.05041784056803533
fe_6,0.05731702428803571
fe_7,0.05300597287491548
fe_8,0.05559951638811848
fe_9,0.03814944389606049
fe_10,0.055159832499027346
fe_11,0.05744278544975179
fe_12,0.05358841848666973
fe_13,0.056857296970287144
fe_14,0.047482855183564536
fe_15,0.05519824022359848
fe_16,0.053030558356883924
fe_17,0.058785248247095676
fe_18,0.0583028993722814
fe_19,0.051412921100224995
fe_20,0.058410584235408944
