feature,psi
fe_1,0.06168364112896747
fe_2,0.05921563308141346
fe_3,0.05314411274231756
fe_4,0.0641802195990475
fe_5,0.06519786702155292
fe_6,0.06369476103058107
fe_7,0.06790004312392893
fe_8,0.05739503812923591
fe_9,0.04216635883880529
fe_10,0.05186854524545872
fe_11,0.051565426226541464
fe_12,0.04988975896697499
fe_13,0.05434458548203473
fe_14,0.04881940992336863
fe_15,0.0485377100169237
fe_16,0.05319069356639479
fe_17,0.06139161130919357
fe_18,0.05387195296911404
fe_19,0.04352337736892938
fe_20,0.0620635910927925
