feature,psi
fe_1,0.06147159170956889
fe_2,0.05253047234175362
fe_3,0.05352685742036808
fe_4,0.06662565831856827
fe_5,0.053065707952274214
fe_6,0.057695874575100295
fe_7,0.04775417135609735
fe_8,0.06072139377514051
fe_9,0.04396675023110416
fe_10,0.0543919923376845
fe_11,0.05066626219860686
fe_12,0.05483649205012873
fe_13,0.06405985941211369
fe_14,0.044612642915105805
fe_15,0.0543229838586165
fe_16,0.04993686309527816
fe_17,0.05246186287131205
fe_18,0.05668447974130149
fe_19,0.04805148526386213
fe_20,0.0653054760037074
