feature,psi
fe_1,0.062456740560631226
fe_2,0.049684068716298095
fe_3,0.05161495789459316
fe_4,0.05861366689068577
fe_5,0.0664044341378685
fe_6,0.060861210427987755
fe_7,0.053294097285735385
fe_8,0.05762623990949894
fe_9,0.043313626818807134
fe_10,0.05070453641867498
fe_11,0.06259193829964517
fe_12,0.0483826269872521
fe_13,0.06251291114893502
fe_14,0.04658865493996144
fe_15,0.049678646825252984
fe_16,0.046662423655345765
fe_17,0.05298334659319713
fe_18,0.06446412171826262
fe_19,0.04105768512190075
fe_20,0.048094838375383434
