feature,psi
fe_1,0.0539333789481755
fe_2,0.049696395268549624
fe_3,0.045656511381973006
fe_4,0.05738177905420253
fe_5,0.057956628091873845
fe_6,0.062220233230764393
fe_7,0.059414277239991486
fe_8,0.05438371871179396
fe_9,0.04452127285665649
fe_10,0.04817330579919096
fe_11,0.047923254453987145
fe_12,0.048973941843753185
fe_13,0.04838969231390772
fe_14,0.04535531706850251
fe_15,0.04802178569426048
fe_16,0.05785414931274439
fe_17,0.05347379301827703
fe_18,0.05777022392537421
fe_19,0.039345311844030895
fe_20,0.050364576429901046
