feature,psi
fe_1,0.0574568029984179
fe_2,0.04791714336148711
fe_3,0.049573223516962896
fe_4,0.0658788160732943
fe_5,0.06559111017552656
fe_6,0.0530034673568067
fe_7,0.053281935214315734
fe_8,0.05344127973404313
fe_9,0.04701495077746419
fe_10,0.060444861054984735
fe_11,0.05729476294184343
fe_12,0.055375190191880586
fe_13,0.06143831099099198
fe_14,0.05099771174223705
fe_15,0.0550064119360062
fe_16,0.06337911381736881
fe_17,0.06420457752562508
fe_18,0.057805013436771926
fe_19,0.04920721895946737
fe_20,0.04970148798465354
