feature,psi
fe_1,0.057279226494062085
fe_2,0.05305878222567047
fe_3,0.04824190098725145
fe_4,0.06605706037608239
fe_5,0.055142511255656515
fe_6,0.06886502807449824
fe_7,0.05090518065920487
fe_8,0.06069507563840016
fe_9,0.05358652202211547
fe_10,0.05236573062068098
fe_11,0.05091684174828424
fe_12,0.0585818528192959
fe_13,0.05559495256224934
fe_14,0.04727427612306851
fe_15,0.06763718500723863
fe_16,0.0598186418090999
fe_17,0.05332248244609272
fe_18,0.06621192851089906
fe_19,0.03668372585619317
fe_20,0.05926644323647016
