feature,psi
fe_1,0.060955479945757216
fe_2,0.05656276655553514
fe_3,0.05248808156754138
fe_4,0.0692498792494113
fe_5,0.06404296426946748
fe_6,0.06744713116957833
fe_7,0.05003168967289765
fe_8,0.051030642861230324
fe_9,0.03926710755287714
fe_10,0.055876374752725895
fe_11,0.06124777805111462
fe_12,0.05370990845593504
fe_13,0.06154907695736078
fe_14,0.05462664258170646
fe_15,0.06045908611125459
fe_16,0.06061095115495654
fe_17,0.046413994378535835
fe_18,0.05317064287325107
fe_19,0.045778465739465694
fe_20,0.049976737275343394
