feature,psi
fe_1,0.06290072074142958
fe_2,0.05522867910678187
fe_3,0.05739813817846716
fe_4,0.05543173188341396
fe_5,0.05919410407742413
fe_6,0.07207349768200104
fe_7,0.05305749842557571
fe_8,0.058655918759776236
fe_9,0.05103992671819538
fe_10,0.05533209328371467
fe_11,0.050055418409229835
fe_12,0.05072651685746657
fe_13,0.054863039482345805
fe_14,0.05542032613829458
fe_15,0.05530719832285444
fe_16,0.05185451275562519
fe_17,0.060193651105059386
fe_18,0.056474737380124214
fe_19,0.04554772027133799
fe_20,0.052044349626218775
