feature,psi
fe_1,0.05824662142425031
fe_2,0.058614585252642286
fe_3,0.048172884352122934
fe_4,0.05293658465102546
fe_5,0.05854344178583543
fe_6,0.05737353450926562
fe_7,0.05224405494225496
fe_8,0.054627474851806246
fe_9,0.04378210837075375
fe_10,0.05978953238708819
fe_11,0.05542692689460767
fe_12,0.05421287656101547
fe_13,0.05687936550103143
fe_14,0.05228223072476019
fe_15,0.0557472586039008
fe_16,0.0522013129750642
fe_17,0.05310950170233971
fe_18,0.05025481471583272
fe_19,0.04344764625027561
fe_20,0.05791294976899393
