feature,psi
fe_1,0.05690547844109789
fe_2,0.05039736330956904
fe_3,0.049531625051407104
fe_4,0.06925479547297429
fe_5,0.06374546352088546
fe_6,0.06675566549136054
fe_7,0.05688407403435817
fe_8,0.050522722523657165
fe_9,0.04909650292323419
fe_10,0.05202238597512028
fe_11,0.05873697673438125
fe_12,0.053047558532809375
fe_13,0.055898123450403146
fe_14,0.05200930834672646
fe_15,0.05275411949326903
fe_16,0.05871018801849127
fe_17,0.050194212331485556
fe_18,0.05442346264199492
fe_19,0.04314960659876117
fe_20,0.04847419832995401
