feature,psi
fe_1,0.06976682870014793
fe_2,0.04708883282497041
fe_3,0.05259424019372025
fe_4,0.05604618560779493
fe_5,0.05791562773763861
fe_6,0.056471743417138606
fe_7,0.051984091344669636
fe_8,0.054941276153457445
fe_9,0.052900714265996115
fe_10,0.04947670267947729
fe_11,0.05010019844265769
fe_12,0.059978075085045865
fe_13,0.055865827634789283
fe_14,0.052987326584066095
fe_15,0.0496644296164208
fe_16,0.055491568769611095
fe_17,0.05575945156282394
fe_18,0.05462021491426264
fe_19,0.05297983656803457
fe_20,0.05651105295919578
