feature,psi
fe_1,0.052768552429187515
fe_2,0.05473497628278005
fe_3,0.04976508306637034
fe_4,0.06048115762658981
fe_5,0.05734987652312231
fe_6,0.05752545406685588
fe_7,0.05797283252428149
fe_8,0.05010970832435968
fe_9,0.04945861286948519
fe_10,0.05914216963607081
fe_11,0.05778653858081546
fe_12,0.049138733073139346
fe_13,0.0511072164600835
fe_14,0.042532166552679544
fe_15,0.05971494255674123
fe_16,0.05609137814467541
fe_17,0.05275864980900017
fe_18,0.06589951782851364
fe_19,0.03826422093222178
fe_20,0.054839024308795566
