feature,psi
fe_1,0.055084273494883325
fe_2,0.054401712085325696
fe_3,0.060716792668469376
fe_4,0.06480726952700828
fe_5,0.051547670893186334
fe_6,0.06342001313229212
fe_7,0.05389893896037904
fe_8,0.0623070245842379
fe_9,0.04701787592627052
fe_10,0.05466707712507707
fe_11,0.045445567145188624
fe_12,0.060325507806537185
fe_13,0.05717283735457657
fe_14,0.04592487011223378
fe_15,0.06470194653499833
fe_16,0.05670717148255725
fe_17,0.05251304158178589
fe_18,0.05630917947212015
fe_19,0.05135900500988488
fe_20,0.05147825340756926
