feature,psi
fe_1,0.05947145207162663
fe_2,0.05498362511663887
fe_3,0.047939757938274256
fe_4,0.05629252258948473
fe_5,0.059966057642022376
fe_6,0.04634369799599107
fe_7,0.05451904142907745
fe_8,0.06002991232817692
fe_9,0.049037964474825474
fe_10,0.05505774655653473
fe_11,0.049043910896521416
fe_12,0.05728884349177788
fe_13,0.059528525366094
fe_14,0.05113855244829798
fe_15,0.052109315639323375
fe_16,0.05768653121778875
fe_17,0.056070564692602326
fe_18,0.058018306491213256
fe_19,0.04542476071296814
fe_20,0.05949188162690022
